
2024-01-06 16:50:48.485454:job config: {'train_data_path': '../data/train_set.csv', 'test_data_path': '../data/test_set.csv', 'label': 'delta_e', 'input_type': None, 'log_folder': 'sample', 'log_file': 'sample.log', 'test_metric': 'mae', 'architecture': '1024x4D-512x3D-256x3D-128x3D-64x2-32x1-1', 'loss_type': 'mae', 'config_file': 'sample/job.config', 'use_valid': False, 'project': 'ElemNet', 'input_types': ['elements_tl'], 'regressors': None, 'paramsGrid': {'optimizer': 'Adam', 'learning_rate': 0.0001, 'patience': 200, 'dropouts': [0.8, 0.9, 0.7, 0.8], 'EVAL_FREQUENCY': 1000}, 'save_path': 'sample/sample_model', 'dataset': 'OQMD', 'model_path': './save_model'}
2024-01-06 16:50:48.485506:train data path is  ../data/train_set.csv
2024-01-06 16:50:55.379039:input attribute sets are:  ['elements_tl']
2024-01-06 16:50:55.379394:test data path is  ../data/test_set.csv
2024-01-06 16:50:56.098648:input attributes are:  ['H', 'Li', 'Be', 'B', 'C', 'N', 'O', 'F', 'Na', 'Mg', 'Al', 'Si', 'P', 'S', 'Cl', 'K', 'Ca', 'Sc', 'Ti', 'V', 'Cr', 'Mn', 'Fe', 'Co', 'Ni', 'Cu', 'Zn', 'Ga', 'Ge', 'As', 'Se', 'Br', 'Kr', 'Rb', 'Sr', 'Y', 'Zr', 'Nb', 'Mo', 'Tc', 'Ru', 'Rh', 'Pd', 'Ag', 'Cd', 'In', 'Sn', 'Sb', 'Te', 'I', 'Xe', 'Cs', 'Ba', 'La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Hf', 'Ta', 'W', 'Re', 'Os', 'Ir', 'Pt', 'Au', 'Hg', 'Tl', 'Pb', 'Bi', 'Ac', 'Th', 'Pa', 'U', 'Np', 'Pu']
2024-01-06 16:50:56.098761:label: delta_e
2024-01-06 16:51:00.349114: train, test, valid sizes:  (307305, 86) (307305,) (34145, 86) (34145,) (34145, 86) (34145,)
2024-01-06 16:51:02.095911:train matrix shape of train_X:  (307305, 86)  train_y:  (307305,)
2024-01-06 16:51:02.096081:valid matrix shape of train_X:  (34145, 86)  valid_y:  (34145,)
2024-01-06 16:51:02.096128:test matrix shape of valid_X:   (34145, 86)  test_y:  (34145,)
2024-01-06 16:51:02.096164:architecture is:  1024x4D-512x3D-256x3D-128x3D-64x2-32x1-1
2024-01-06 16:51:02.096206:learning rate is  0.0001
2024-01-06 16:51:05.432750:Initialized
2024-01-06 16:51:05.432942:Restoring model from ./save_model/model_1024x4D-512x3D-256x3D-128x3D-64x2-32x1-1.pt
2024-01-06 16:51:05.469456:start training
2024-01-06 16:51:16.050083:Step 999 (epoch 00), 0.0 s minibatch loss: 0.17219, validation error: 0.45878, test error: 0.45878, best validation error: 0.45878
2024-01-06 16:51:26.955033:Step 1999 (epoch 00), 0.0 s minibatch loss: 0.14072, validation error: 0.48460, test error: 0.48460, best validation error: 0.45878
2024-01-06 16:51:37.936070:Step 2999 (epoch 00), 0.0 s minibatch loss: 0.30708, validation error: 0.47540, test error: 0.47540, best validation error: 0.45878
2024-01-06 16:51:48.773597:Step 3999 (epoch 00), 0.0 s minibatch loss: 0.22843, validation error: 0.48075, test error: 0.48075, best validation error: 0.45878
2024-01-06 16:51:59.799388:Step 4999 (epoch 00), 0.0 s minibatch loss: 0.05729, validation error: 0.47446, test error: 0.47446, best validation error: 0.45878
2024-01-06 16:52:10.671362:Step 5999 (epoch 00), 0.0 s minibatch loss: 0.14457, validation error: 0.47467, test error: 0.47467, best validation error: 0.45878
2024-01-06 16:52:20.272072:Step 6999 (epoch 00), 0.0 s minibatch loss: 0.15822, validation error: 0.46583, test error: 0.46583, best validation error: 0.45878
2024-01-06 16:52:27.195651:Step 7999 (epoch 00), 0.0 s minibatch loss: 0.15360, validation error: 0.48748, test error: 0.48748, best validation error: 0.45878
2024-01-06 16:52:34.135149:Step 8999 (epoch 00), 0.0 s minibatch loss: 0.16007, validation error: 0.47237, test error: 0.47237, best validation error: 0.45878
2024-01-06 16:52:44.446950:Step 9999 (epoch 01), 0.0 s minibatch loss: 0.14753, validation error: 0.48032, test error: 0.48032, best validation error: 0.45878
2024-01-06 16:52:55.046076:Step 10999 (epoch 01), 0.0 s minibatch loss: 0.08926, validation error: 0.49086, test error: 0.49086, best validation error: 0.45878
2024-01-06 16:53:05.930818:Step 11999 (epoch 01), 0.0 s minibatch loss: 0.12395, validation error: 0.47824, test error: 0.47824, best validation error: 0.45878
2024-01-06 16:53:16.665257:Step 12999 (epoch 01), 0.0 s minibatch loss: 0.17824, validation error: 0.46876, test error: 0.46876, best validation error: 0.45878
2024-01-06 16:53:27.629355:Step 13999 (epoch 01), 0.0 s minibatch loss: 0.20557, validation error: 0.48207, test error: 0.48207, best validation error: 0.45878
2024-01-06 16:53:38.344165:Step 14999 (epoch 01), 0.0 s minibatch loss: 0.14233, validation error: 0.46640, test error: 0.46640, best validation error: 0.45878
2024-01-06 16:53:49.135316:Step 15999 (epoch 01), 0.0 s minibatch loss: 0.15564, validation error: 0.48230, test error: 0.48230, best validation error: 0.45878
2024-01-06 16:53:59.438071:Step 16999 (epoch 01), 0.0 s minibatch loss: 0.17946, validation error: 0.48477, test error: 0.48477, best validation error: 0.45878
2024-01-06 16:54:10.237845:Step 17999 (epoch 01), 0.0 s minibatch loss: 0.14645, validation error: 0.46389, test error: 0.46389, best validation error: 0.45878
2024-01-06 16:54:21.161675:Step 18999 (epoch 01), 0.0 s minibatch loss: 0.24745, validation error: 0.48301, test error: 0.48301, best validation error: 0.45878
2024-01-06 16:54:23.319766:done
